asistencia;inscripcion;idEgresado;idEvento;idFechaInicio;idFechaFin;idUnidadAcademica;idPerfilPractica;idPerfilPersonal;idPerfilGrado
0;1;-1;594;359;359;6;-1;-1;-1
0;1;-1;478;40;40;2;-1;-1;-1
0;1;-1;810;81;81;2;-1;-1;-1
0;1;-1;638;81;81;16;-1;-1;-1
0;1;1674;1053;508;507;65;2;6501;-1
0;1;1674;1050;508;507;65;2;6501;-1
0;1;1674;1051;508;507;65;2;6501;-1
0;1;1674;1052;508;507;65;2;6501;-1
1;1;-1;16;18;18;3;-1;-1;-1
0;1;-1;936;293;293;2;-1;-1;-1
0;1;-1;16;18;18;3;-1;-1;-1
0;1;-1;378;260;260;3;-1;-1;-1
0;1;-1;571;362;362;3;-1;-1;-1
0;1;-1;158;85;85;3;-1;-1;-1
0;1;-1;131;113;113;1;-1;-1;-1
0;1;-1;173;111;111;3;-1;-1;-1
0;1;437;141;90;90;3;-1;-1;-1
0;1;437;144;90;90;3;-1;-1;-1
0;1;-1;905;477;477;8;-1;-1;-1
0;1;-1;667;220;220;2;-1;-1;-1
0;1;-1;539;347;347;1;-1;-1;-1
0;1;-1;446;305;305;1;-1;-1;-1
1;1;-1;975;491;491;49;-1;-1;-1
1;1;-1;974;491;491;2;-1;-1;-1
0;1;-1;1022;501;501;13;-1;-1;-1
0;1;-1;728;409;409;1;-1;-1;-1
0;1;-1;444;29;29;5;-1;-1;-1
1;1;-1;135;26;26;1;-1;-1;-1
1;1;-1;246;187;187;2;-1;-1;-1
0;1;-1;822;60;60;29;-1;-1;-1
0;1;-1;522;172;172;1;-1;-1;-1
0;1;-1;302;83;83;35;-1;-1;-1
0;1;-1;300;83;83;3;-1;-1;-1
0;1;-1;1012;291;291;2;-1;-1;-1
0;1;-1;96;83;83;2;-1;-1;-1
0;1;-1;669;140;140;3;-1;-1;-1
1;1;-1;89;37;37;3;-1;-1;-1
0;1;-1;846;458;458;1;-1;-1;-1
1;1;-1;1021;501;501;13;-1;-1;-1
0;1;-1;724;91;91;2;-1;-1;-1
0;1;-1;326;230;230;2;-1;-1;-1
0;1;-1;612;374;374;53;-1;-1;-1
1;1;-1;620;375;375;1;-1;-1;-1
0;1;-1;210;72;72;30;-1;-1;-1
0;1;-1;741;56;56;56;-1;-1;-1
1;1;-1;370;255;255;3;-1;-1;-1
0;1;-1;464;40;40;2;-1;-1;-1
0;1;-1;785;433;433;2;-1;-1;-1
0;1;-1;179;146;146;3;-1;-1;-1
0;1;2417;674;82;82;8;-1;7132;-1
0;1;2157;640;321;321;2;-1;6908;-1
1;1;-1;421;289;288;2;-1;-1;-1
1;1;-1;116;51;51;1;-1;-1;-1
1;1;-1;516;82;82;3;-1;-1;-1
0;1;-1;735;120;120;2;-1;-1;-1
0;1;-1;245;187;187;2;-1;-1;-1
0;1;-1;666;187;187;53;-1;-1;-1
0;1;-1;893;475;475;8;-1;-1;-1
0;1;-1;761;423;423;9;-1;-1;-1
0;1;-1;661;259;259;2;-1;-1;-1
0;1;-1;434;68;68;2;-1;-1;-1
0;1;-1;620;375;375;1;-1;-1;-1
0;1;-1;634;379;379;1;-1;-1;-1
0;1;-1;1;1;1;1;-1;-1;-1
0;1;-1;44;44;44;3;-1;-1;-1
1;1;-1;437;299;299;2;-1;-1;-1
0;1;-1;88;72;72;2;-1;-1;-1
1;1;-1;577;366;366;2;-1;-1;-1
0;1;-1;864;463;463;27;-1;-1;-1
0;1;-1;957;42;42;2;-1;-1;-1
0;1;-1;485;320;320;2;-1;-1;-1
0;1;-1;878;415;415;2;-1;-1;-1
0;1;-1;47;42;42;3;-1;-1;-1
0;1;-1;482;91;91;16;-1;-1;-1
0;1;-1;62;54;54;5;-1;-1;-1
0;1;-1;329;144;144;1;-1;-1;-1
1;1;-1;777;428;427;2;-1;-1;-1
0;1;-1;855;459;459;6;-1;-1;-1
1;1;-1;773;262;262;2;-1;-1;-1
1;1;-1;6;6;6;3;-1;-1;-1
