id;paisResidenciaActual;estadoResidenciaActual;ciudadResidenciaActual;empresaActual;cargoActual;donante;profesor;fechaActualizacion;fechaExpiracion
4849; Colombia; Cundinamarca; Bogot? D.C.; Ernst & Young S.a.s; Consultor  En FSO De LAFSA;D;D;01/01/2013;01/01/2099
5321;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;TRADUCTOR;0;0;7/31/2013;01/01/2999
1865; Colombia; Cundinamarca; Bogot? D.C.; Jltre Corredores Colombianos De Reaseguro; Asistente Comercial;D;D;01/01/2010;01/01/2099
2231; Colombia; Cundinamarca; Bogot? D.C.; Ernst & Young; Abogado De Primer A?o;D;D;01/08/2011;01/01/2099
4197; Colombia; Cundinamarca; Bogot? D.C.; MM Ingenieria; Ingeniera;D;D;01/08/2013;01/01/2099
1738; Colombia; Cundinamarca; Bogot? D.C.; Universidad De Los Andes; Asistente De Investigacion;D;D;01/01/2010;01/01/2099
568; Colombia; Cundinamarca; Bogot? D.C.; BANCO DE LA REPUBLICA; PROFESIONAL;D;D;01/01/2009;01/01/2099
2616; Colombia; Cundinamarca; Bogot? D.C.; Estudio Doris Salcedo; Arquitecto Asistente;D;D;01/01/2011;01/01/2099
5714;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;SALES TEAM LEADER;0;0;9/23/2013;01/01/2999
6790;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;NA;0;0;10/30/2013;01/01/2999
1278;NA;NA;NA; Brigard & Urrutia Abogados; Asociado Junior;D;D;01/08/2010;01/01/2099
4102; Colombia; Cundinamarca; Bogot? D.C.; Estrategias Cooptarivas; Asociada;D;D;01/08/2013;01/01/2099
1427;NA;NA;NA; Sigma Gesti?n De Proyectos; Consultor Junior;D;D;01/08/2010;01/01/2099
535; Colombia; Cundinamarca; Bogot? D.C.; Caracol Televisi?n Internacional; Abogada Internacional;D;D;01/01/2009;01/01/2099
1620; Colombia; Cundinamarca; Bogot? D.C.; Groupon; Business Analista;D;D;01/01/2010;01/01/2099
5887;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;NA;NA;0;0;4/9/2012;01/01/2999
166; Colombia; Cundinamarca; Bogot? D.C.; Aiesec Australia; Vicepresidente De Talento Humano;D;D;01/08/2009;01/01/2099
5849;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;ASISTENTE;0;0;5/29/2015;01/01/2999
6049;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;ANALISTA;0;0;8/2/2013;01/01/2999
1882; Colombia; Cundinamarca; Bogot? D.C.; Findeter; Analista De La Oficina De Planeacion;D;D;01/01/2010;01/01/2099
3762; Colombia; Cundinamarca; Bogot? D.C.; International Finance Corporation (World Bank); Analista De Inversiones;D;D;01/01/2012;01/01/2099
1483;NA;NA;NA; Fedesarrollo; Asistente De Investigaci?n;D;D;01/01/2010;01/01/2099
2109; Colombia; Cundinamarca; Bogot? D.C.; Seed; Dise?ador;D;D;01/08/2011;01/01/2099
2326; Colombia; Cundinamarca; Bogot? D.C.; Nessan; Dise?adora;D;D;01/08/2011;01/01/2099
7139;NA;NA;NA;NA;NA;0;0;8/1/2011;01/01/2999
1551; Colombia; Cundinamarca; Bogot? D.C.; Charry Duarte Rodriguez Abogados & Asesores Empresariales; Socio Empleado;D;D;01/01/2010;01/01/2099
3776; Colombia; Cundinamarca; Bogot? D.C.; institiruo Rosewel; mEICO AHOSPITALAIA;D;D;01/01/2012;01/01/2099
5907;COLOMBIA;MAGDALENA;SANTA MARTA;NA;DIRECTOR;0;0;9/23/2015;01/01/2999
