id;beneficiarioQE;gradoEgresado;nivelGrado;semestreGrado
3205;0;Profesional en Lenguas Modernas;Pregrado;1987-20
2520;0;Historiador;Pregrado;2000-20
1344;0;Filósofo;Pregrado;2015-10
2010;0;Licenciado en Bacteriología y Ciencias Naturales;Pregrado;1974-20
1899;0;Químico;Pregrado;2012-10
2493;0;Especialista en Legislación Financiera;Especialización;2005-10
1481;0;Antropólogo;Pregrado;1976-10
1836;0;Magíster en Literatura;Maestría;2015-20
1472;0;Especialista en Gestión de Riesgo y Control de Instituciones Financieras;Especialización;2014-20
1436;0;Especialista en Legislación Financiera;Especialización;1992-20
3053;1;Matemático;Pregrado;2015-10
1639;0;Maestro en Arte. Concentración: Artes Plásticas;Pregrado;2004-10
2963;0;Magíster en Matemáticas;Maestría;2006-20
676;0;Arquitecto;Pregrado;1982-10
186;0;Especialista en Sistemas de Transmisi?n y Distribuci?n de Energ?a El?ctrica;Especializaci?n;2017-10
2339;0;Diseñador Industrial;Pregrado;2006-10
148;0;Bi?logo;Pregrado;2017-10
1710;0;Filósofo;Pregrado;2000-10
2468;0;Magíster en Ciencia Política;Maestría;2002-10
147;0;Bi?logo;Pregrado;2017-20
109;0;Mag?ster en Psicolog?a;Maestr?a;2017-10
1811;0;Especialista en Tributación;Especialización;2015-10
1748;0;Especialista en Gestión Pública e Instituciones Administrativas;Especialización;1998-20
815;0;Maestro en Arte. Concentración: Artes Plásticas;Pregrado;2016-10
1316;0;Arquitecto;Pregrado;1982-20
378;0;Mag?ster en Historia del Arte;Maestr?a;2018-10
189;0;Especialista en Sistemas de Transmisi?n y Distribuci?n de Energ?a El?ctrica;Especializaci?n;2017-20
2398;0;Diseñador Industrial;Pregrado;2006-20
1822;0;Especialista en Derecho Comercial;Especialización;2007-20
1377;0;Filósofo;Pregrado;2000-20
23;0;Mag?ster en Psicolog?a;Maestr?a;2017-20
1426;0;Especialista en Ciudad y Arquitectura;Especialización;2011-20
3165;0;Biólogo;Pregrado;1990-10
951;0;Especialista en Tributación;Especialización;2015-20
820;0;Biólogo;Pregrado;1989-20
2226;0;Especialista en Administración;Especialización;2003-20
230;0;Mag?ster en Ingenier?a de Sistemas y Computaci?n;Maestr?a;2017-10
1787;0;Especialista en Régimen Jurídico, Financiero y Contable de Impuestos;Especialización;2000-20
630;0;Arquitecto;Pregrado;1994-10
2330;0;Magíster en Biología;Maestría;2000-20
3126;0;Matemático;Pregrado;1972-20
227;0;Mag?ster en Ingenier?a de Sistemas y Computaci?n;Maestr?a;2017-20
3112;0;Magíster en Matemáticas;Maestría;2006-10
429;0;Mag?ster en Seguridad de la Informaci?n;Maestr?a;2018-10
603;0;Especialista en Mercadeo;Especialización;2000-10
902;0;Biólogo;Pregrado;1990-20
2277;0;Magíster en Ciencia Política;Maestría;2014-10
2711;0;Músico con Enfasis en Instrumento - Flauta;Pregrado;2007-10
2983;0;Maestro en Textiles;Pregrado;2005-20
2909;0;Maestro en Textiles;Pregrado;1976-10
3064;0;Especialista en Régimen Contractual;Especialización;1999-20
2789;0;Músico con Enfasis en Instrumento - Canto;Pregrado;1996-10
737;0;Arquitecto;Pregrado;1994-20
1686;0;Especialista en Banca;Especialización;2001-10
2421;0;Físico;Pregrado;2011-10
1983;0;Magíster en Ciencias Biológicas. Area: Microbiología;Maestría;2004-10
1691;0;Filósofo;Pregrado;1971-20
1719;0;Magíster en Dirección Universitaria;Maestría;1996-10
3065;0;Matemático;Pregrado;1984-10
2826;0;Músico con Enfasis en Composición;Pregrado;2003-20
