id;edadEgresado;generoEgresado;celularPrincipalEgresado;emailEgresado;nivelVinculacionEgresado;indiceRelacionamiento;indiceRelacionamientoEstandarizado;idPerfilPractica;idPerfilPersonal;idPerfilGrado
18448;48;M;1;1;Alta;0.0;0.0;-1;27819;-1
1812;55;F;0;1;Baja;0.0;0.0;-1;12678;-1
15062;55;M;1;1;Alta;0.0;0.0;-1;24700;-1
19726;33;F;1;1;Baja;0.0;0.0;428;-1;-1
21712;23;F;0;1;Baja;0.0;0.0;-1;30830;-1
29022;37;M;1;1;Baja;0.0;0.0;-1;37651;-1
41157;23;F;1;1;Alta;0.0;0.0;-1;48840;-1
39218;34;F;1;1;Baja;0.0;0.0;-1;47085;-1
16399;53;M;1;1;Alta;0.0;0.0;-1;25931;-1
30058;35;M;1;1;Alta;0.0;0.0;-1;38601;-1
18629;42;F;1;1;Media;0.2;0.4;522;-1;-1
11176;24;F;1;1;Baja;0.0;0.0;-1;21109;-1
34599;32;M;1;1;Alta;0.0;0.0;1842;-1;-1
31940;41;F;1;1;Media;0.0;0.0;-1;40346;-1
38227;54;F;1;1;Media;0.0;0.0;-1;46152;-1
6340;44;M;0;1;Alta;0.0;0.0;1520;16702;-1
1527;65;F;0;1;Media;0.0;0.0;-1;-1;-1
8362;26;M;1;1;Alta;0.0;0.0;-1;18539;-1
3093;24;F;1;1;Alta;0.0;0.0;-1;13799;-1
18022;52;M;1;1;Baja;0.0;0.0;-1;27425;-1
35175;31;F;1;1;Baja;0.0;0.0;-1;43343;-1
8312;38;M;1;1;Media;0.0;0.0;-1;18491;-1
10071;41;M;1;1;Alta;0.0;0.0;-1;20095;-1
16738;61;M;1;1;Baja;0.0;0.0;-1;26245;-1
21239;51;F;1;1;Baja;0.0;0.0;-1;30395;-1
1568;35;M;1;1;Alta;0.0;0.0;-1;12477;-1
33250;37;M;0;1;Media;0.0;0.0;-1;41566;-1
19023;34;F;1;1;Baja;0.0;0.0;-1;28336;-1
20038;29;M;0;1;Media;0.0;0.0;-1;29268;-1
38212;37;M;1;1;Baja;0.0;0.0;-1;46139;-1
19963;49;M;1;1;Alta;0.0;0.0;-1;29201;-1
23696;83;M;1;1;Media;0.0;0.0;-1;-1;-1
19096;47;M;0;1;Baja;0.0;0.0;-1;28407;-1
4364;52;M;1;1;Alta;0.5;1.0;-1;-1;-1
28721;74;F;1;1;Baja;0.0;0.0;-1;37378;-1
11204;66;F;1;0;Baja;0.0;0.0;-1;21136;-1
458;-1;M;0;0;Baja;0.0;0.0;-1;11580;-1
40866;26;M;1;1;Alta;0.3;0.6;-1;-1;4
23345;32;M;1;1;Alta;0.0;0.0;-1;32366;-1
4631;42;M;1;1;Alta;0.0;0.0;-1;15168;-1
34619;45;M;1;1;Alta;0.0;0.0;-1;42838;-1
16195;28;M;1;1;Alta;0.0;0.0;-1;25747;-1
40487;61;M;1;1;Alta;0.0;0.0;-1;48232;-1
17979;47;M;1;1;Alta;0.0;0.0;-1;27383;-1
27666;33;M;1;1;Alta;0.0;0.0;-1;36398;-1
11222;25;F;1;1;Media;0.0;0.0;-1;21152;-1
7062;31;M;1;1;Baja;0.0;0.0;-1;17354;-1
32720;47;F;1;1;Media;0.0;0.0;1985;-1;-1
6828;35;M;1;1;Media;0.0;0.0;-1;17147;-1
29757;37;M;1;1;Media;0.0;0.0;-1;38328;-1
23233;47;M;1;1;Alta;0.0;0.0;795;-1;-1
9804;26;M;1;1;Alta;0.0;0.0;-1;19853;-1
31217;46;F;1;1;Baja;0.0;0.0;-1;39685;-1
6084;25;M;1;1;Baja;0.0;0.0;-1;16465;-1
12276;38;M;1;1;Media;0.0;0.0;-1;22119;-1
41097;23;M;1;1;Alta;0.0;0.0;-1;48786;4
4162;46;F;1;1;Media;0.0;0.0;-1;14767;-1
10581;44;F;0;1;Baja;0.0;0.0;-1;20576;-1
31218;57;M;1;1;Baja;0.0;0.0;2443;-1;-1
3490;45;M;1;1;Baja;0.0;0.0;-1;14151;-1
34740;55;F;0;1;Alta;0.0;0.0;-1;-1;-1
35525;43;M;1;1;Alta;0.0;0.0;-1;43673;-1
20405;26;M;1;1;Alta;0.0;0.0;-1;29618;-1
28217;44;F;1;1;Baja;0.0;0.0;-1;36912;-1
13764;33;F;1;1;Baja;0.0;0.0;-1;23497;-1
15382;30;F;1;1;Baja;0.0;0.0;-1;25001;-1
15268;29;F;1;1;Alta;0.0;0.0;2718;24894;-1
25310;45;F;1;1;Media;0.0;0.0;-1;34186;-1
38195;57;F;1;1;Baja;0.0;0.0;-1;46123;-1
1501;39;M;1;1;Media;0.0;0.0;-1;12420;-1
7981;50;F;1;1;Media;0.3;0.6;-1;-1;-1
21644;29;M;1;1;Alta;0.0;0.0;-1;30768;-1
15920;67;M;1;1;Alta;0.0;0.0;-1;25490;-1
29920;-1;M;1;1;Media;0.0;0.0;-1;38474;-1
10879;38;F;1;1;Alta;0.0;0.0;-1;20842;-1
15721;36;F;1;1;Media;0.0;0.0;-1;25304;-1
21879;36;M;1;1;Baja;0.0;0.0;-1;30991;-1
34380;65;F;1;1;Baja;0.0;0.0;-1;42621;-1
11526;40;F;0;1;Alta;0.0;0.0;-1;21432;-1
35317;42;F;1;1;Media;0.0;0.0;564;-1;-1
4838;41;M;1;1;Media;0.0;0.0;-1;15352;-1
3222;54;F;0;1;Baja;0.0;0.0;-1;13913;-1
9137;28;F;1;1;Media;0.0;0.0;-1;19239;-1
10980;28;M;1;1;Alta;0.0;0.0;-1;20936;-1
6944;42;F;1;1;Media;0.0;0.0;-1;17253;-1
19954;34;F;0;1;Baja;0.0;0.0;-1;29192;-1
10692;62;M;1;1;Media;0.0;0.0;-1;20675;-1
36073;39;F;0;1;Baja;0.0;0.0;-1;44179;-1
22648;48;M;1;1;Alta;0.0;0.0;2672;-1;-1
13963;36;M;1;1;Alta;0.0;0.0;-1;23682;-1
31830;58;M;0;1;Baja;0.0;0.0;-1;40247;-1
37790;45;M;1;1;Media;0.0;0.0;-1;45743;-1
39799;27;F;1;1;Media;0.0;0.0;-1;47612;-1
3422;44;F;1;1;Alta;0.0;0.0;-1;14091;-1
31316;44;M;0;1;Media;0.0;0.0;-1;39776;-1
24744;44;M;0;1;Baja;0.0;0.0;-1;33661;-1
2364;43;M;1;1;Baja;0.0;0.0;-1;13164;-1
34571;49;F;1;1;Media;0.0;0.0;-1;42792;-1
36311;42;M;1;1;Media;0.0;0.0;-1;44400;-1
28573;38;M;0;1;Baja;0.0;0.0;-1;37245;-1
3841;26;M;1;1;Alta;0.3;0.6;-1;14469;-1
17160;33;M;1;1;Media;0.0;0.0;-1;26634;-1
7728;31;M;1;1;Alta;0.0;0.0;-1;17964;-1
34550;51;F;1;1;Baja;0.0;0.0;-1;42775;-1
27191;46;M;1;1;Baja;0.0;0.0;-1;35951;-1
24042;48;M;1;1;Baja;0.0;0.0;-1;33009;-1
33524;36;F;1;1;Baja;0.0;0.0;-1;41812;-1
33807;41;M;1;1;Baja;0.0;0.0;-1;42076;-1
8829;42;F;0;1;Baja;0.0;0.0;-1;18961;-1
41229;24;M;1;1;Media;0.0;0.0;195;-1;-1
37244;86;M;1;1;Alta;0.0;0.0;-1;45244;-1
35469;36;M;1;1;Alta;0.0;0.0;-1;43622;-1
37095;-1;M;0;1;Baja;0.0;0.0;-1;45115;-1
30486;42;F;1;1;Baja;0.0;0.0;-1;39002;-1
3427;75;M;1;1;Alta;0.0;0.0;-1;-1;-1
939;58;F;0;1;Baja;0.0;0.0;-1;11957;-1
18495;27;F;1;1;Baja;0.0;0.0;-1;27863;-1
1686;65;M;1;1;Media;0.0;0.0;-1;12579;-1
19470;29;F;1;1;Media;0.0;0.0;-1;28744;-1
7416;29;F;1;1;Media;0.2;0.4;-1;-1;-1
37397;33;M;1;1;Media;0.0;0.0;-1;45383;-1
18234;37;F;1;1;Media;0.0;0.0;-1;27624;-1
8082;49;F;1;1;Media;0.0;0.0;-1;18283;-1
28081;40;F;0;1;Baja;0.0;0.0;-1;36782;-1
29767;56;F;1;1;Alta;0.0;0.0;-1;38337;-1
20803;36;M;1;1;Baja;0.0;0.0;-1;29990;-1
5666;37;F;0;1;Baja;0.0;0.0;-1;16091;-1
28352;43;M;1;1;Media;0.0;0.0;-1;37041;-1
