llave anónima vde,llave ctp
4016422,161946782058254000
4016658,160662756905208000
4016692,161807727014969000
4016916,161966131284026000
4016986,161943654417551000
4017028,161808463943876000
4017206,161966134503627000
4017360,161640997373288000
4017535,161804637724279000
4017605,161804782534121000
4017778,161642714918422000
4017840,161806066517558000
4018139,161805377864154000
4018748,161953736056258000
4018918,161945589269431000
4019063,161642467256857000
4019153,161809392347966000
4019257,161969201188393000
4019473,161804642551272000
4019530,161807191214001000
4019640,161788166832084000
4019787,161479064867998000
4020235,161641460530628000
4020346,161807858954083000
4020797,161790308306356000
4021570,161479016646652000
4021656,161783805090228000
4021806,161966475781546000
4021829,161945030704515000
4021999,161809578994517000
4022021,161945621463404000
4022225,162126072247392000
4022292,161967942314808000
4022328,161953864835406000
4022417,161641346349417000
4022778,161966472561941000
4022996,161629362371024000
4024033,161787959281988000
4024337,161966346997383000
4024753,160980032144849000
4024841,161319384002472000
4025095,161947322919411000
4025277,161954787217556000
4025369,161965194381408000
4025580,161641000589656000
4025831,161809389129923000
4025992,161952094126598000
4026155,161966227872078000
4026376,161644885985722000
4026919,161628543835837000
4026943,161792366130072000
4027010,161951305359428000
4027333,161806679549040000
4027550,161946767570914000
4027642,161640912139544000
4027859,161786722028749000
4028040,161640915355912000
4028186,161622529515118000
4028516,161966578808913000
4028571,161639633636085000
4028607,161945933745104000
4029303,161955812626276000
4029352,161966575589307000
4029606,161806410844809000
4029634,161965461607652000
4029761,161965463217449000
4029976,162110148682870000
4030815,161644649579909000
4031132,161785993193880000
4031176,161807393949398000
4031681,161626376094509000
4031844,161807212131140000
4032372,161783840485904000
4033169,161805398781175000
4033453,161142586197679000
4033673,161954883802227000
4033845,161947075024602000
4034022,161964540804898000
4034637,161318079459408000
4035042,161807231439268000
4035389,161965471266436000
4035624,161807852518027000
4035757,161951226482816000
4035906,162111741487289000
4036227,161805878264028000
4036916,161807395558410000
4037459,161628188441047000
4037939,161952614070090000
4038077,161966448414907000
4038249,161966451634511000
4038399,161949779341864000
4038425,162125682483569000
4038695,161480537229888000
4038730,161642020179966000
4038782,161791828745602000
4039265,161952150467184000
4039373,161629569819367000
4039481,161945616634308000
4039609,161625581688493000
4040052,161645678830971000
4040444,161808949867348000
4040499,161641796641752000
4040640,161477812722720000
4040687,161805099507002000
4040738,161965437460693000
4041123,161964553683240000
4041333,161628735202424000
4041589,161640960385057000
4041693,161641624565678000
4041825,161968011536630000
4041851,161481599713544000
